Gene_accession no.	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
aph(2'')-Ib_2_AF207840	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	10991878	Enzymatic modification	curated	
aph(7'')-Ia_1_X03615	Aminoglycoside		3005976	Enzymatic modification	Alternative name hygB, curated	
aph(9)-Ia_2_CR628337	Aminoglycoside		15467720	Enzymatic modification	curated	
aph(6)-Ia_2_Y00459	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	Alternative name aphD, curated, strA	
aph(6)-Id_1_M28829	Aminoglycoside	Streptomycin	2653965	Enzymatic modification	Alternative name strB, curated	
aph(6)-Id_3_AB109805	Aminoglycoside	Streptomycin	14711528	Enzymatic modification	Alternative name strB, curated	
aph(6)-Id_4_CP000971	Aminoglycoside	Streptomycin	18708504	Enzymatic modification	Alternative name strB, curated	
aph(6)-Id_5_18676889	Aminoglycoside	Streptomycin	18676889	Enzymatic modification	Alternative name strB, curated	
aph(3'')-Ia_2_AP009493	Aminoglycoside	Streptomycin	18310036	Enzymatic modification	Alternative name aphE, aphD2, curated	
aph(3'')-Ia_3_M37378	Aminoglycoside	Streptomycin	2844130	Enzymatic modification	Alternative name aphE, aphD2, curated	
aph(3'')-Ib_1_M28829	Aminoglycoside	Streptomycin	2653965	Enzymatic modification	Alternative name strA, curated, orfH	
aph(3'')-Ib_3_AF321550	Aminoglycoside	Streptomycin	12029529	Enzymatic modification	Alternative name strA, curated, orfH	
aph(3'')-Ib_4_AF313472	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	Alternative name strA, curated, orfH	
aadE-Cc_1_CP013733	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_2_JF826500	Aminoglycoside	Gentamicin, Tobramycin	22271862	Enzymatic modification	curated	
ant(2'')-Ia_3_X74412	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_4_AF458082	Aminoglycoside	Gentamicin, Tobramycin	12384364	Enzymatic modification	curated	
ant(2'')-Ia_5_AY139594	Aminoglycoside	Gentamicin, Tobramycin	19719593	Enzymatic modification	curated	
ant(2'')-Ia_6_AJ871915	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_7_DQ018384	Aminoglycoside	Gentamicin, Tobramycin	15837385	Enzymatic modification	curated	
ant(2'')-Ia_8_AY920928	Aminoglycoside	Gentamicin, Tobramycin	16048994	Enzymatic modification	curated	
ant(2'')-Ia_9_HM367610	Aminoglycoside	Gentamicin, Tobramycin	21873033	Enzymatic modification	curated	
ant(2'')-Ia_10_HM367617	Aminoglycoside	Gentamicin, Tobramycin	21873033	Enzymatic modification	curated	
ant(2'')-Ia_11_HM367620	Aminoglycoside	Gentamicin, Tobramycin	21873033	Enzymatic modification	curated	
ant(2'')-Ia_12_HQ880250	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_13_DQ176450	Aminoglycoside	Gentamicin, Tobramycin	16304199	Enzymatic modification	curated	
ant(2'')-Ia_14_DQ266447	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_15_EF205594	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_16_HQ386848	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_17_JTTZ01000034	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_19_GQ466184	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_20_AY139599	Aminoglycoside	Gentamicin, Tobramycin	19719593	Enzymatic modification	curated	
ant(2'')-Ia_1_X04555	Aminoglycoside	Gentamicin, Tobramycin	3024112	Enzymatic modification	Alternative name aadB, curated	
aph(3')-VI_1_KC170992	Aminoglycoside	Amikacin	23612200	Enzymatic modification	curated	
aph(3')-XV_2_GQ626879	Aminoglycoside		20368407	Enzymatic modification	curated	
aph(3')-XV_3_EU165039	Aminoglycoside		19049645	Enzymatic modification	curated	
aph(3')-IIIa_1_AF330699	Aminoglycoside	Amikacin	11600397	Enzymatic modification	curated	
aph(3')-IIIa_2_AJ490186	Aminoglycoside	Amikacin	unpublished	Enzymatic modification	curated	
aph(3')-IIIa_3_AB247327	Aminoglycoside	Amikacin	17021204	Enzymatic modification	curated	
aph(3')-Va_2_AB211959	Aminoglycoside		16506694	Enzymatic modification	curated	
aph(3')-Vb_2_AJ744850	Aminoglycoside		unpublished	Enzymatic modification	curated	
aph(3')-IIa_2_V00618	Aminoglycoside		6295884	Enzymatic modification	curated	
aph(3')-IIb_2_CP006832	Aminoglycoside		24336371	Enzymatic modification	curated	
aph(3')-Ia_2_EU287476	Aminoglycoside		21393370	Enzymatic modification	curated	
aph(3')-Ia_3_EF015636	Aminoglycoside		17485180	Enzymatic modification	curated	
aph(3')-Ia_4_AF498082	Aminoglycoside		unpublished	Enzymatic modification	curated	
aph(3')-Ia_5_AP004237	Aminoglycoside		12029035	Enzymatic modification	curated	
aph(3')-Ia_6_L05392	Aminoglycoside		1325061	Enzymatic modification	curated	
aph(3')-Ia_7_X62115	Aminoglycoside		1662755	Enzymatic modification	curated	
aph(3')-Ia_8_Y00452	Aminoglycoside		2823223	Enzymatic modification	curated	
aph(3')-Ia_9_EU722351	Aminoglycoside		21235404	Enzymatic modification	curated	
aph(3')-Ia_10_EU855787	Aminoglycoside		19075060	Enzymatic modification	curated	
aph(2'')-Ih_1_KF652096	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aph(2'')-Ig_1_CP004067	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	23959310	Enzymatic modification	curated	
aph(2'')-If_1_KF652097	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aph(2'')-If_2_AY701528	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	15917546	Enzymatic modification	curated	
aph(2'')-Ia_2_AP009486	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	19074389	Enzymatic modification	Bifunctional aac(6')-Ie-aph(2'')-Ia, curated	
aph(2'')-Ia_3_AJ536195	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	12716781	Enzymatic modification	Bifunctional aac(6')-Ie-aph(2'')-Ia, curated	
aph(2'')-Ib_3_KF652098	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(6)-Ia_3_KF864551	Aminoglycoside	Streptomycin	17395262	Enzymatic modification	Alternative name ant6, aadE, curated	
aac(2')-Ia_1_L06156	Aminoglycoside	Gentamicin, Tobramycin	8407825	Enzymatic modification	curated	
aac(2')-Ib_1_U41471	Aminoglycoside	Gentamicin, Tobramycin	8891143	Enzymatic modification	curated	
aac(2')-Ic_1_U72714	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(2')-Id_1_U72743	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(2')-Ie_1_NC011896	Aminoglycoside	Gentamicin, Tobramycin	19881526	Enzymatic modification	curated	
aac(3)-I_1_AJ877225	Aminoglycoside	Gentamicin	15995187	Enzymatic modification	curated	
aac(3)-Ia_1_X15852	Aminoglycoside	Gentamicin	2549372	Enzymatic modification	curated	
aac(3)-Ib_1_L06157	Aminoglycoside	Gentamicin	7486920	Enzymatic modification	curated	
aac(3)-Ib-aac(6')-Ib'_1_AF355189	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	11850242	Enzymatic modification	curated	
aac(3)-Ic_1_AJ511268	Aminoglycoside	Gentamicin	12709352	Enzymatic modification	curated	
aac(3)-Id_1_AB114632	Aminoglycoside	Gentamicin	15117923	Enzymatic modification	curated	
aac(3)-If_1_AY884051	Aminoglycoside	Gentamicin	unpublished	Enzymatic modification	curated	
aac(3)-Ig_1_CP000282	Aminoglycoside	Gentamicin	18516288	Enzymatic modification	curated	
aac(3)-Ih_1_CP000490	Aminoglycoside	Gentamicin	unpublished	Enzymatic modification	curated	
aac(3)-Ii_1_CP000356	Aminoglycoside	Gentamicin	19805210	Enzymatic modification	curated	
aac(3)-IIa_1_X51534	Aminoglycoside	Gentamicin, Tobramycin	2552900	Enzymatic modification	curated	
aac(3)-IIb_1_M97172	Aminoglycoside	Gentamicin, Tobramycin	1444303	Enzymatic modification	curated	
aac(3)-IIc_1_X54723	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(3)-IId_1_EU022314	Aminoglycoside	Gentamicin, Tobramycin	20185552	Enzymatic modification	curated	
aac(3)-IIe_1_EU022315	Aminoglycoside	Gentamicin, Tobramycin	20185552	Enzymatic modification	curated	
aac(3)-IIIa_1_X55652	Aminoglycoside	Gentamicin, Tobramycin	1649572	Enzymatic modification	curated	
aac(3)-IIIb_1_L06160	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(3)-IIIc_1_L06161	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(3)-IVa_1_X01385	Aminoglycoside	Gentamicin, Tobramycin	6318050	Enzymatic modification	curated	
aac(3)-VIa_1_M88012	Aminoglycoside	Gentamicin	8257126	Enzymatic modification	curated	
aac(3)-VIIa_1_M22999	Aminoglycoside		2914849	Enzymatic modification	curated	
aac(3)-VIIIa_1_M55426	Aminoglycoside		2060791	Enzymatic modification	curated	
aac(3)-IXa_1_M55427	Aminoglycoside		2060791	Enzymatic modification	curated	
aac(3)-Xa_1_AB028210	Aminoglycoside	Amikacin	unpublished	Enzymatic modification	curated	
aac(6')-Ia_1_M18967	Aminoglycoside	Amikacin, Tobramycin	2826403	Enzymatic modification	Alternative name aacA1, curated	
aac(6')-Ib_1_M21682	Aminoglycoside	Amikacin, Tobramycin	2841303	Enzymatic modification	Alternative name aacA4, aac(6')-4, curated	
aac(6')-Ic_1_M94066	Aminoglycoside	Amikacin, Tobramycin	1354954	Enzymatic modification	curated	
aac(6')-If_1_X55353	Aminoglycoside	Amikacin, Tobramycin	2069376	Enzymatic modification	curated	
aac(6')-Ig_1_L09246	Aminoglycoside	Amikacin, Tobramycin	8257129	Enzymatic modification	curated	
aac(6')-Ih_1_L29044	Aminoglycoside	Amikacin, Tobramycin	7810994	Enzymatic modification	curated	
aac(6')-Ij_1_L29045	Aminoglycoside	Amikacin, Tobramycin	7810994	Enzymatic modification	curated	
aac(6')-Ik_1_L29510	Aminoglycoside	Amikacin, Tobramycin	8001769	Enzymatic modification	curated	
aac(6')-Ip_1_Z54241	Aminoglycoside	Amikacin, Tobramycin	9021185	Enzymatic modification	Alternative name aac(6')-Il, aacA16, curated	
aac(6')-Im_1_AF337947	Aminoglycoside	Amikacin, Tobramycin	11557456	Enzymatic modification	curated	
aac(6')-Iq_1_AF047556	Aminoglycoside	Amikacin, Tobramycin	9624504	Enzymatic modification	Alternative name aacA17, curated	
aac(6')-Ir_1_AF031326	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Is_1_AF031327	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-It_1_AF031328	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Iu_1_AF031329	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Iv_1_AF031330	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Iw_1_AF031331	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Iz_1_AF140221	Aminoglycoside	Amikacin, Tobramycin	10508008	Enzymatic modification	curated	
aac(6')-Iad_1_AB119105	Aminoglycoside	Amikacin, Tobramycin	15155202	Enzymatic modification	curated	
aac(6')-Iae_1_AB104852	Aminoglycoside	Amikacin, Tobramycin	16127047	Enzymatic modification	Alternative name aacA28, curated	
aac(6')-Iaf_1_AB462903	Aminoglycoside	Amikacin, Tobramycin	19349516	Enzymatic modification	Alternative name aacA41, curated	
aac(6')-Iai_1_EU886977	Aminoglycoside	Amikacin, Tobramycin	unpublished	Enzymatic modification	Alternative name aacA39, curated	
aac(6')-I30_1_AY289608	Aminoglycoside	Amikacin, Tobramycin	15231768	Enzymatic modification	Alternative name aacA30, curated	
aac(6')-31_1_AM283489	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	17470660	Enzymatic modification	Alternative name aacA31, curated	
aac(6')-32_1_EF614235	Aminoglycoside	Tobramycin	17938181	Enzymatic modification	curated, gentamicin; Alternative name aacA32, reduced susceptiblity to amikacin	
aac(6')-33_1_GQ337064	Aminoglycoside	Amikacin, Tobramycin	19738007	Enzymatic modification	Alternative name aacA42, curated	
aac(6')-IIa_1_M29695	Aminoglycoside	Gentamicin, Tobramycin	2515793	Enzymatic modification	curated	
aac(6')-IIb_1_L06163	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(6')-IIc_1_NC_012555	Aminoglycoside	Gentamicin, Tobramycin	19075060	Enzymatic modification	curated	
aac(6')-aph(2'')_1_M13771	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	3015884	Enzymatic modification	Alternative name aac(6')-bifunctional, aac(6')-Ie, aac(6')-Ie-aph(2'')-Ia, aacA-aphD, curated	
aac(6')-Isa_1_AB116646	Aminoglycoside	Amikacin, Tobramycin	15625322	Enzymatic modification	curated	
aac(6')-Ib3_1_X60321	Aminoglycoside	Amikacin, Tobramycin	1331747	Enzymatic modification	Alternative name aac(6')-Ib5, curated	
aacA43_1_HQ247816	Aminoglycoside	Amikacin, Tobramycin	21422220	Enzymatic modification	curated	
ant(3'')-Ia_1_X02340	Aminoglycoside	Streptomycin	8385262	Enzymatic modification	Alternative name aadA, aad(3')(9), aadA1, aadA1a, curated	
aadA1_2_FJ591054	Aminoglycoside	Streptomycin	19243438	Enzymatic modification	Alternative name ant(3'')-Ia, curated	
aadA1_3_JQ414041	Aminoglycoside	Streptomycin	23180481	Enzymatic modification	Alternative name ant(3'')-Ia, curated	
aadA1b_1_M95287	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	Alternative name aadA2, curated	
aadA1_4_JQ480156	Aminoglycoside	Streptomycin	22486636	Enzymatic modification	Alternative name ant(3'')-Ia, curated	
aadA1_5_JX185132	Aminoglycoside	Streptomycin	23934739	Enzymatic modification	Alternative name ant(3'')-Ia, curated	
aadA2_2_JQ364967	Aminoglycoside	Streptomycin	22511964	Enzymatic modification	curated	
aadA3_1_AF047479	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	curated	
aadA4_1_Z50802	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	curated	
aadA5_1_AF137361	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	curated	
aadA6_1_AF140629	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	curated	
aadA7_1_AF224733	Aminoglycoside	Streptomycin	10817710	Enzymatic modification	curated	
aadA8_1_AF326210	Aminoglycoside	Streptomycin	11557503	Enzymatic modification	curated	
aadA8b_2_AM040708	Aminoglycoside	Streptomycin	16291869	Enzymatic modification	curated	
aadA9_1_AJ420072	Aminoglycoside	Streptomycin	12383729	Enzymatic modification	curated	
aadA10_1_U37105	Aminoglycoside	Streptomycin	12121911	Enzymatic modification	curated	
aadA11_1_AY144590	Aminoglycoside	Streptomycin	16451415	Enzymatic modification	curated	
aadA12_1_AY665771	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	curated	
aadA13_1_AY713504	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	curated	
aadA14_1_AJ884726	Aminoglycoside	Streptomycin	15980396	Enzymatic modification	curated	
aadA15_1_DQ393783	Aminoglycoside	Streptomycin	16816399	Enzymatic modification	curated	
aadA16_1_EU675686	Aminoglycoside	Streptomycin	19008256	Enzymatic modification	curated	
aadA17_1_FJ460181	Aminoglycoside	Streptomycin	22127350	Enzymatic modification	curated	
aadA21_1_AY171244	Aminoglycoside	Streptomycin	12760885	Enzymatic modification	curated	
aadA22_1_AM261837	Aminoglycoside	Streptomycin	17597002	Enzymatic modification	curated	
aadA23_1_AJ809407	Aminoglycoside	Streptomycin	15761062	Enzymatic modification	curated	
aadA24_1_AM711129	Aminoglycoside	Streptomycin	18571383	Enzymatic modification	curated	
ant(6)-Ia_2_KF421157	Aminoglycoside	Streptomycin	24379302	Enzymatic modification	Alternative name ant6, aadE, curated	
aadD_1_AF181950	Aminoglycoside	Amikacin, Tobramycin	10858352	Enzymatic modification	Alternative name ant(4')-Ia, curated	
aadK_1_M26879	Aminoglycoside	Streptomycin	2550327	Enzymatic modification	curated	
ant(3'')-Ii-aac(6')-IId_1_AF453998	Aminoglycoside	Gentamicin, Streptomycin, Tobramycin	11959575	Enzymatic modification	Alternative name ant(3'')-Ih-aac(6')-Iid, curated	
ant(4')-Ib_1_AJ506108	Aminoglycoside	Amikacin, Tobramycin	12654668	Enzymatic modification	Alternative name aadA2, curated	
ant(4')-IIa_1_M98270	Aminoglycoside	Amikacin, Tobramycin	8385262	Enzymatic modification	curated	
ant(4')-IIb_1_AY114142	Aminoglycoside	Amikacin, Tobramycin	12709326	Enzymatic modification	curated	
ant(6)-Ia_1_AF330699	Aminoglycoside	Streptomycin	11600397	Enzymatic modification	Alternative name ant6, aadE, curated	
ant(6)-Ib_1_FN594949	Aminoglycoside	Streptomycin	20479200	Enzymatic modification	curated	
aph(2'')-Ib_1_AF337947	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	11557456	Enzymatic modification	curated	
aph(2'')-Ic_1_U51479	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	9055984	Enzymatic modification	curated	
aph(2'')-Id_1_AF016483	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	9593155	Enzymatic modification	curated	
aph(2'')-Ie_1_AY743255	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	16201926	Enzymatic modification	curated	
aph(3')-Ia_1_V00359	Aminoglycoside		6270337	Enzymatic modification	curated	
aph(3')-Ib_1_M20305	Aminoglycoside		2832861	Enzymatic modification	curated	
aph(3'')-Ic_1_DQ336355	Aminoglycoside	Streptomycin	16954315	Enzymatic modification	curated	
aph(3')-Id_1_Z48231	Aminoglycoside		2653965	Enzymatic modification	curated	
aph(3')-IIa_1_X57709	Aminoglycoside		1664906	Enzymatic modification	curated	
aph(3')-IIb_1_X90856	Aminoglycoside		8723476	Enzymatic modification	curated	
aph(3')-IIc_1_AM743169	Aminoglycoside		18419807	Enzymatic modification	curated	
aph(3')-III_1_M26832	Aminoglycoside	Amikacin	3937729	Enzymatic modification	curated	
aph(3')-IV_1_X03364	Aminoglycoside		3006668	Enzymatic modification	curated	
aph(3')-Va_1_K00432	Aminoglycoside		6310563	Enzymatic modification	curated	
aph(3')-Vb_1_M22126	Aminoglycoside		2851496	Enzymatic modification	curated	
aph(3')-Vc_1_S81599	Aminoglycoside		1663923	Enzymatic modification	curated	
aph(3')-VIa_1_X07753	Aminoglycoside	Amikacin	2846986	Enzymatic modification	curated	
aph(3')-VIb_1_AJ627643	Aminoglycoside	Amikacin	16048938	Enzymatic modification	curated	
aph(3')-VIIa_1_M29953	Aminoglycoside	Amikacin	2550983	Enzymatic modification	curated	
aph(3')-VIII_1_ATGI01000028	Aminoglycoside	Amikacin	27965516	Enzymatic modification	Intrinsic in Acinetobacter rudis, curated	
aph(3')-XV_1_Y18050	Aminoglycoside		10390207	Enzymatic modification	curated	
aph(3'')-Ia_1_X53527	Aminoglycoside	Streptomycin	2167474	Enzymatic modification	Alternative name aphE, aphD2, curated	
aph(4)-Ia_1_V01499	Aminoglycoside		6314265	Enzymatic modification	Alternative name hph, curated	
aph(6)-Ia_1_AY971801	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	Alternative name aphD, curated, strA	
aph(6)-Ib_1_X05648	Aminoglycoside	Streptomycin	3039305	Enzymatic modification	Alternative name sph, curated	
aph(6)-Ic_1_X01702	Aminoglycoside	Streptomycin	3889831	Enzymatic modification	Alternative name str, curated	
aph(9)-Ia_1_U94857	Aminoglycoside		9174205	Enzymatic modification	curated	
aph(9)-Ib_1_U70376	Aminoglycoside		unpublished	Enzymatic modification	curated	
rmtB2_1_JN968578	Aminoglycoside		unpublished	Target protection	Gentamicin, Suggested phenotype: Amikacin, Tobramycin, curated	
rmtF_1_JQ808129	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	22547620	Target protection	curated	
rmtG_1_JX486113	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	23459483	Target protection	curated	
rmtH_1_KC544262	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	23478957	Target protection	curated	
armA_1_AY220558	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	12878520	Target protection	curated	
npmA_1_AB261016	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	17875999	Target protection	curated	
rmtA_1_AB120321	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	14667745	Target protection	curated	
rmtB_1_AB103506	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	14742200	Target protection	curated	
rmtC_1_AB194779	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	16377684	Target protection	curated	
rmtD_1_DQ914960	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	17158944	Target protection	curated	
rmtD2_1_HQ401565	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	21078935	Target protection	curated	
rmtE_1_GU201947	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	20368404	Target protection	curated	
ant(9)-Ia_1_X02588	Aminoglycoside		2993813	Enzymatic modification	Alternative name aad(9), curated, spc	
aac(6')-Ib-cr_1_DQ303918	Aminoglycoside, Fluoroquinolone, Quinolone	Amikacin, Ciprofloxacin, Tobramycin	unpublished	Enzymatic inactivation, Enzymatic modification	MIC of ciprofloxacin does not always increase above ECOFF PMID 16369542, curated	
aac(6')-Ib-cr_2_EF636461	Aminoglycoside, Fluoroquinolone, Quinolone	Amikacin, Ciprofloxacin, Tobramycin	17938184	Enzymatic inactivation, Enzymatic modification	curated	
aph(3'')-Ib_2_AF024602	Aminoglycoside	Streptomycin	9687410	Enzymatic modification	Alternative name strA, curated, orfH	
aph(3'')-Ib_5_AF321551	Aminoglycoside	Streptomycin	12029529	Enzymatic modification	Alternative name strA, curated	
aph(6)-Id_2_AF024602	Aminoglycoside	Streptomycin	8385262	Enzymatic modification	Alternative name strB, curated	
str_1_X92946	Aminoglycoside	Streptomycin	11735367	Enzymatic modification	curated	
str_2_FN435330	Aminoglycoside	Streptomycin	20399039	Enzymatic modification	curated	
str_3_AM932524	Aminoglycoside	Streptomycin	20558469	Enzymatic modification	curated	
aac(3)-IIIb_2_LLLC01000048	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(3)-IIa_2_AY138987	Aminoglycoside	Gentamicin, Tobramycin	12726770	Enzymatic modification	curated	
aac(3)-IIa_3_X13543	Aminoglycoside	Gentamicin, Tobramycin	3892230	Enzymatic modification	curated	
aac(3)-IIa_4_L22613	Aminoglycoside	Gentamicin, Tobramycin	8117265	Enzymatic modification	curated	
aac(3)-IIa_5_FJ012882	Aminoglycoside	Gentamicin, Tobramycin	19055690	Enzymatic modification	curated	
