ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	Criteria	ARO Categories
ARO:3003196	tet(45)	17	protein homolog model	Bacillus anthracis	0	1.23	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus faecium	2.83	35.12	28.8	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus pyogenes	0	9.8	1.18	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3001557	OXA-371	23	protein homolog model	Acinetobacter baumannii	0	0.25	0	perfect_strict	antibiotic inactivation; cephalosporin; penam
ARO:3001557	OXA-371	23	protein homolog model	Acinetobacter baumannii	0	0.25	0	perfect	antibiotic inactivation; cephalosporin; penam
ARO:3003552	fusB	24	protein homolog model	Staphylococcus epidermidis	0	13.42	36.36	perfect_strict	antibiotic inactivation; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus aureus	0.24	0.55	0	perfect	antibiotic inactivation; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus aureus	0.24	0.55	0	perfect_strict	antibiotic inactivation; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus epidermidis	0	13.05	31.82	perfect	antibiotic inactivation; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus lugdunensis	0	0	6.67	perfect	antibiotic inactivation; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus lugdunensis	0	0	6.67	perfect_strict	antibiotic inactivation; fusidic acid
ARO:3002372	VEB-3	26	protein homolog model	Citrobacter freundii	0	0.78	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Klebsiella pneumoniae	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Citrobacter freundii	0	0.78	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Klebsiella pneumoniae	0.03	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002835	lnuA	27	protein homolog model	Enterococcus faecium	0	0.21	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus pseudintermedius	0	1.52	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus epidermidis	0	5.15	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Listeria monocytogenes	0	0.07	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Enterococcus faecalis	0	0.26	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Escherichia coli	0	0.08	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus aureus	0.32	1.02	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Salmonella enterica	0	0.22	0.14	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Escherichia coli	0	0.13	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3001800	OXA-226	30	protein homolog model	Pseudomonas fluorescens	0	0.06	0	perfect_strict	antibiotic inactivation; cephalosporin; penam
ARO:3003163	CTX-M-155	31	protein homolog model	Klebsiella pneumoniae	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002146	DHA-15	32	protein homolog model	Klebsiella pneumoniae	0	0.02	0	perfect_strict	antibiotic inactivation; cephalosporin; cephamycin
ARO:3003109	msrE	33	protein homolog model	Acinetobacter baumannii	5.81	44.57	39.49	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter baumannii	6.1	46.62	40.76	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Staphylococcus aureus	0	0.01	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Salmonella enterica	0.24	0.46	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Salmonella enterica	0.24	0.46	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Escherichia coli	0.06	0.15	0.04	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Escherichia coli	0.06	0.17	0.04	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Klebsiella pneumoniae	0.79	3.08	1.09	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Klebsiella pneumoniae	0.89	3.95	1.09	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Pseudomonas aeruginosa	0	0.54	3.27	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Pseudomonas aeruginosa	2.44	0.54	3.27	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Proteus mirabilis	7.41	0.86	4.35	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Proteus mirabilis	7.41	0.86	4.35	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Serratia marcescens	1.64	0	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Serratia marcescens	1.64	0	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Klebsiella oxytoca	3.33	1.87	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Klebsiella oxytoca	3.33	1.87	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Vibrio cholerae	0	0.32	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Vibrio cholerae	0	0.32	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Pseudomonas stutzeri	0	4.48	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Pseudomonas stutzeri	0	4.48	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterobacter cloacae	1.3	1.35	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterobacter cloacae	1.3	2.26	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Citrobacter freundii	3.49	6.98	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Citrobacter freundii	4.65	7.75	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Morganella morganii	0	7.14	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Morganella morganii	0	7.14	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterobacter asburiae	0	1.56	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterobacter asburiae	0	1.56	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Pseudomonas fluorescens	0	0.3	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Pseudomonas fluorescens	0	0.3	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter haemolyticus	6.67	0	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Proteus vulgaris	0	12.5	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Proteus vulgaris	0	12.5	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Providencia rettgeri	0	30.77	25	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Providencia rettgeri	0	38.46	25	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Providencia stuartii	7.14	7.69	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Providencia stuartii	7.14	7.69	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter lwoffii	0	7.14	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter lwoffii	0	7.14	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter nosocomialis	2	2	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter nosocomialis	2	2	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterobacter hormaechei	0.9	3.17	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterobacter hormaechei	0.9	3.33	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterobacter kobei	0	12.5	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterobacter kobei	0	14.06	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Raoultella planticola	0	10.53	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Raoultella planticola	0	10.53	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3002804	FosA2	35	protein homolog model	Klebsiella pneumoniae	0	0.04	0	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Salmonella enterica	0	0.01	0.14	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Enterobacter kobei	0	92.19	100	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Enterobacter hormaechei	0	88.75	83.78	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Providencia stuartii	0	61.54	100	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Enterobacter asburiae	0	87.5	60	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Enterobacter cloacae	0	77.65	90	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Enterobacter cloacae	0	0.45	0	perfect	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Klebsiella oxytoca	0	0.93	0	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Klebsiella aerogenes	0	1.19	0	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002804	FosA2	35	protein homolog model	Escherichia coli	0.02	0.03	0	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Shigella flexneri	0	98.7	96.97	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Shigella dysenteriae	0	97.14	94.44	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter amalonaticus	0	100	100	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Shigella sonnei	0	98.98	80	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Klebsiella oxytoca	0	0.93	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Listeria monocytogenes	0	0.04	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Pseudomonas aeruginosa	0	0.05	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Klebsiella pneumoniae	0	0.11	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Escherichia coli	0	96.45	36.4	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Salmonella enterica	0	86.3	89.15	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter koseri	0	100	100	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Vibrio parahaemolyticus	0	0.17	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Enterobacter hormaechei	0	0.79	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Stenotrophomonas maltophilia	0	0.33	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Staphylococcus aureus	0	0.01	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Acinetobacter baumannii	0	0.04	0	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter youngae	0	50	100	perfect_strict	antibiotic efflux; benzalkonium chloride; rhodamine; tetracycline antibiotic
