#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_12_length_123652_cov_59.582238	98376	98731	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_46_length_8749_cov_95.000000	2036	3295	resfindernewid_2627	1-1260/1260	===============	0/0	100.00	99.92	resfinderformatted	002627	resfinderformatted~~~resfindernewid_2627~~~002627
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_46_length_8749_cov_95.000000	3378	4179	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.75	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_46_length_8749_cov_95.000000	5861	6652	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_46_length_8749_cov_95.000000	8413	8675	resfindernewid_2463	968-1230/1230	...........====	0/0	21.38	99.62	resfinderformatted	002463	resfinderformatted~~~resfindernewid_2463~~~002463
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_49_length_5738_cov_55.289348	2075	3280	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_52_length_4537_cov_38.442377	85	921	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_52_length_4537_cov_38.442377	921	1724	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_52_length_4537_cov_38.442377	1785	2600	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_58_length_2068_cov_45.465595	598	1458	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_62_length_1857_cov_114.774157	1686	1852	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_63_length_1645_cov_52.179209	688	1347	resfindernewid_2636	1-660/660	===============	0/0	100.00	99.85	resfinderformatted	002636	resfinderformatted~~~resfindernewid_2636~~~002636
4b4351f9-5706-4664-b046-341f7fd88d46_1_contigs.fa	NODE_69_length_1192_cov_53.598206	164	979	resfindernewid_199	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	000199	resfinderformatted~~~resfindernewid_199~~~000199
